id,created_at,text,author_id,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.552280000128483e+18,2022-07-27 13:09:26,"Wait... Baru inget hari ini hari terakhir PSE kominfo, terus steam, epic, origin, sama LinkedIn belum daftar juga... 😨😨",171017721,1.552280000128483e+18,id,0,1,1,0,"wait... baru inget hari ini hari terakhir pse kominfo, terus steam, epic, origin, sama linkedin belum daftar juga... :fearful_face::fearful_face:",neutral,0.7803550958633423
1.552214309580984e+18,2022-07-27 08:48:24,"Selain itu, ada pula perusahaan mesin pencari Bing, platform game Steam, Epic Game, Battle Net, Origin, serta perusahaan yang pernah jadi raksasa teknologi Yahoo yang kini berada di bawah Verizon. @PlateJohnny @kemkominfo @Prabu_dasamuka 
https://t.co/Ivs76jneDL",4134971,1.552214309580984e+18,id,0,0,0,0,"selain itu, ada pula perusahaan mesin pencari bing, platform game steam, epic game, battle net, origin, serta perusahaan yang pernah jadi raksasa teknologi yahoo yang kini berada di bawah verizon. @USER @USER @USER HTTPURL",neutral,0.8505502343177795
